Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Digikey PN,MPN
1,Unpolarized capacitor,C_Small,C1 C3 C4,1u,C_0805_2012Metric,3,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf,445-1354-1-ND,C2012X7R1E105K125AB
2,Unpolarized capacitor,C_Small,C2 C5 C6,2.7u,C_1206_3216Metric,3,https://search.kemet.com/component-edge/download/datasheet/C1206C275K3PACTU.pdf,399-3139-1-ND,C1206C275K3PACTU
3,Schottky diode,D_Schottky,D1 D10 D11,D_Schottky,D_SMA,3,https://www.fairchildsemi.com/datasheets/SS/SSA210.pdf,SSA210CT-ND,SSA210
4,LED with pad,LED_PAD,D12 D13 D14 D15,LED_Blue,SSL120,4,https://dammedia.osram.info/media/resource/hires/osram-dam-4486460/GD%20CSSPM1.14.pdf,475-3273-1-ND,GD CSSPM1.14-UOVJ-W4-1
5,LED with pad,LED_PAD,D16 D17 D18 D19,LED_Far,SSL120,4,https://dammedia.osram.info/media/resource/hires/osram-dam-4504083/GF%20CSSPM1.24.pdf,475-3276-1-ND,GF CSSPM1.24-4S2T-1
6,LED with pad,LED_PAD,D2 D3 D4 D5 D6 D7 D8 D9,LED_Red,SSL120,8,https://dammedia.osram.info/media/resource/hires/osram-dam-4651431/GH%20CSSPM1.24.pdf,475-3279-1-ND,GH CSSPM1.24-4T2U-1
7,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02_Female,J1,Conn_01x02_Wago,wago_2060_402,1,https://www.wago.com/infomaterial/pdf/51300133.pdf,,2060-402/998-404
8,CONN HEADER XH TOP 4POS 2.5MM,JST-XH_LED_GND,J2,JST-XH_LED,JST_XH_LED_POWER,1,http://www.jst-mfg.com/product/pdf/eng/eXH.pdf,455-2262-1-ND,S4B-XH-SM4-TB(LF)(SN)
9,Inductor,L,L1 L2 L3,47u,L_Wuerth_WE-PD-Typ-LS_Handsoldering,3,http://katalog.we-online.de/pbs/datasheet/744770147.pdf,732-1231-1-ND,744770147
10,"Resistor, small symbol",R_Small,R7 R8 R9,0,R_2010_5025Metric,3,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,RMCF2010ZT0R00CT-ND,RMCF2010ZT0R00
11,"Resistor, small symbol",R_Small,R1 R3 R5,3.3k,R_0805_2012Metric,3,https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf,P3.3KDACT-ND,ERA-6AEB332V
12,"Resistor, small symbol",R_Small,R2 R4 R6,43k,R_0805_2012Metric,3,https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf,P43KDACT-ND,ERA-6AEB433V
13,Potentiometer,R_POT,RV1 RV2 RV3,5k,ST4ETA502,3,https://www.nidec-copal-electronics.com/e/catalog/trimmer/st-4.pdf,ST4ETA502CT-ND,ST4ETA502
14,"LED Driver IC 1 Output DC DC Regulator Step-Down (Buck) Analog, PWM Dimming 1A 8-SO PowerPad",LM3414,U1 U2 U3,LM3414,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.35x2.35mm,3,http://www.ti.com/lit/ds/symlink/lm3414.pdf,296-41304-1-ND,LM3414MRX/NOPB





Component Groups:,14
Component Count:,45
Fitted Components:,45
Number of PCBs:,1
Total components:,45
Schematic Version:,0.3
Schematic Date:,2018-07-02
BoM Date:,mar 03 jui 2018 19:47:01 UTC
Schematic Source:,/home/vincent/Documents/AstroPlant_VFR/Project/Electronics/PCB/Peripheral/LEDs/kicad/Astroplant_LED_Alu/Astroplant_LED.sch
KiCad Version:,Eeschema (5.0.0-rc3-dev)
